date,content,id,url
2021-01-23 23:59:21+00:00,Best advice I can give in a world where the whole population give the internet everything make your self exclusive and hard to reach plus be real and everybody you know period will be trying get in contact with you or just be around #RandomThoughts + #BigFactz 💯🆘,1353130229762576389,https://twitter.com/HEYYYsosa/status/1353130229762576389
2021-01-23 23:59:21+00:00,I got to pray harder. 💯,1353130229758373889,https://twitter.com/dxvopp/status/1353130229758373889
2021-01-23 23:59:21+00:00,@FarFar_Awayy 💯😔,1353130229146013697,https://twitter.com/Humaima_786/status/1353130229146013697
2021-01-23 23:59:21+00:00,Ion know how to feel about this 😂 NLG with another W💯 https://t.co/DoGnImSr4Y,1353130228273586177,https://twitter.com/NoLifeShaq/status/1353130228273586177
2021-01-23 23:59:19+00:00,@UrdankJosh Yep. 💯,1353130223538032641,https://twitter.com/dmac1043/status/1353130223538032641
2021-01-23 23:59:19+00:00,"🏆#LaLiga 💯#animopues #100AnosGloriosos 
⚽️ #AlavesRealMadrid 
▶️ BIDEOA

💥Alavesen mendeurreneko ekitaldiak Real Madrilen aurkako partidan 

https://t.co/0ETE1GPUxj
#eitbkirolak",1353130223370383361,https://twitter.com/eitbkirolak/status/1353130223370383361
2021-01-23 23:59:19+00:00,"@LitvinAnibal 💯. Es un desayuno indiscutiblemente IRRECHAZABLE (término que acabo de inventar,  creo)",1353130222611263489,https://twitter.com/MarielaDetlefs1/status/1353130222611263489
2021-01-23 23:59:19+00:00,"10 track drum quantize ❌
10 track guitar quantize ❌
2 track bass quantize ❌
24 track vocal quantize plus tuning 💯",1353130222111969281,https://twitter.com/GegePraseta/status/1353130222111969281
2021-01-23 23:59:18+00:00,@knowledgemedia I haven’t retested or taken anything outside of my normal vitamins and supplements other than Tylenol. Hope you’re back to 💯 ASAP. The post-viral fatigue is no joke.,1353130216256843782,https://twitter.com/OhhDeniseDenise/status/1353130216256843782
2021-01-23 23:59:17+00:00,@DrJAshton @Jared_Gurfein @ABCGMA3 💜💜💯💯💯💯💯,1353130213446586368,https://twitter.com/DebbieS89820559/status/1353130213446586368
2021-01-23 23:59:16+00:00,"@MechEngineerB Here here!! Very true, 💯",1353130211018223616,https://twitter.com/Peachs19064792/status/1353130211018223616
2021-01-23 23:59:16+00:00,@malnote I’d bet 💯 what was eye thinking,1353130209059500033,https://twitter.com/Violartp/status/1353130209059500033
2021-01-23 23:59:16+00:00,"@blendedbyscien1 @0ut0ford3r @MaceBGaming @choccymilkxbt @DocumentBitcoin @elonmusk Yes, this 💯% 🤙🏼",1353130207897522177,https://twitter.com/gH2O/status/1353130207897522177
2021-01-23 23:59:15+00:00,@yung_barry HMU 📩if you interested In getting a blue verified ✅BADGE ✅ on your twitter /Instagram account now 🔵🔵💯,1353130206815514624,https://twitter.com/dre_blue_badge/status/1353130206815514624
2021-01-23 23:59:15+00:00,STICK to the plan✍🏽👣💵💰 EVEN if the MF you planned it wit switched up🎭💯,1353130205213126656,https://twitter.com/_Ryderchanel/status/1353130205213126656
2021-01-23 23:59:15+00:00,Da Day We Get A Wingstop In South Bend Its Foreva Bussin😂💯 straight #Gooo🚦,1353130203824975877,https://twitter.com/KeisDa1_/status/1353130203824975877
2021-01-23 23:59:13+00:00,Fight nights 👊💯 https://t.co/iQ3YNMoRu9,1353130196145115136,https://twitter.com/dropdagoat/status/1353130196145115136
2021-01-23 23:59:12+00:00,@AnitaDailey4 Exactly 💯.,1353130193880309767,https://twitter.com/leonadedios07/status/1353130193880309767
